county,engagement,environment,health,housing,neighborhood,opportunity,transportation
Leslie+County+Kentucky,Leslie+County+Kentucky,43,60,6,51,39,29,35
Letcher+County+Kentucky,Letcher+County+Kentucky,38,60,22,60,35,35,35
Lewis+County+Kentucky,Lewis+County+Kentucky,18,60,11,60,31,21,37
Lincoln+County+Kentucky,Lincoln+County+Kentucky,33,58,27,55,38,32,36
Livingston+County+Kentucky,Livingston+County+Kentucky,67,65,14,46,31,69,35
Logan+County+Kentucky,Logan+County+Kentucky,56,56,12,58,33,47,39
Lyon+County+Kentucky,Lyon+County+Kentucky,39,39,20,62,34,36,29
McCracken+County+Kentucky,McCracken+County+Kentucky,60,61,29,64,39,58,44
McCreary+County+Kentucky,McCreary+County+Kentucky,21,60,36,56,37,29,45
McLean+County+Kentucky,McLean+County+Kentucky,45,60,25,64,39,44,35
Madison+County+Kentucky,Madison+County+Kentucky,35,52,44,54,38,43,43
Magoffin+County+Kentucky,Magoffin+County+Kentucky,16,59,10,56,33,36,38
Marion+County+Kentucky,Marion+County+Kentucky,36,33,20,59,37,56,38
Marshall+County+Kentucky,Marshall+County+Kentucky,69,75,28,55,35,52,33
Martin+County+Kentucky,Martin+County+Kentucky,15,18,18,59,31,35,39
Mason+County+Kentucky,Mason+County+Kentucky,67,55,32,64,30,54,40
Meade+County+Kentucky,Meade+County+Kentucky,11,60,25,44,39,55,36
Menifee+County+Kentucky,Menifee+County+Kentucky,19,60,27,59,34,52,40
Mercer+County+Kentucky,Mercer+County+Kentucky,59,58,20,53,40,48,38
Metcalfe+County+Kentucky,Metcalfe+County+Kentucky,51,60,10,57,34,51,31
Monroe+County+Kentucky,Monroe+County+Kentucky,33,60,10,57,37,38,39
Montgomery+County+Kentucky,Montgomery+County+Kentucky,38,60,32,58,35,41,38
Morgan+County+Kentucky,Morgan+County+Kentucky,13,76,20,58,34,41,35
Muhlenberg+County+Kentucky,Muhlenberg+County+Kentucky,43,59,26,51,39,47,40
Nelson+County+Kentucky,Nelson+County+Kentucky,41,57,41,54,38,45,37
Nicholas+County+Kentucky,Nicholas+County+Kentucky,33,28,7,61,36,34,37
Ohio+County+Kentucky,Ohio+County+Kentucky,49,59,19,54,36,48,34
Oldham+County+Kentucky,Oldham+County+Kentucky,41,59,50,32,47,64,40
Owen+County+Kentucky,Owen+County+Kentucky,35,60,0,51,33,27,35
Owsley+County+Kentucky,Owsley+County+Kentucky,16,60,16,69,34,20,36
Pendleton+County+Kentucky,Pendleton+County+Kentucky,52,55,22,53,34,63,30
Perry+County+Kentucky,Perry+County+Kentucky,35,77,17,63,35,67,37
Pike+County+Kentucky,Pike+County+Kentucky,35,75,26,61,36,61,36
Powell+County+Kentucky,Powell+County+Kentucky,48,60,28,56,35,28,35
Pulaski+County+Kentucky,Pulaski+County+Kentucky,49,69,32,55,36,47,43
Robertson+County+Kentucky,Robertson+County+Kentucky,43,60,17,65,33,34,59
Rockcastle+County+Kentucky,Rockcastle+County+Kentucky,42,55,18,59,35,42,32
Rowan+County+Kentucky,Rowan+County+Kentucky,42,55,39,55,38,56,36
Russell+County+Kentucky,Russell+County+Kentucky,48,60,32,57,36,45,36
Scott+County+Kentucky,Scott+County+Kentucky,50,56,41,50,43,65,47
Shelby+County+Kentucky,Shelby+County+Kentucky,35,50,39,50,42,67,38
Simpson+County+Kentucky,Simpson+County+Kentucky,60,33,10,53,37,69,39
Spencer+County+Kentucky,Spencer+County+Kentucky,23,60,38,40,43,81,38
Taylor+County+Kentucky,Taylor+County+Kentucky,56,61,28,63,37,58,46
Todd+County+Kentucky,Todd+County+Kentucky,57,59,16,54,36,40,32
Trigg+County+Kentucky,Trigg+County+Kentucky,44,70,24,53,33,34,31
Trimble+County+Kentucky,Trimble+County+Kentucky,18,55,13,55,36,75,35
Union+County+Kentucky,Union+County+Kentucky,48,60,23,57,40,58,40
Warren+County+Kentucky,Warren+County+Kentucky,49,65,31,58,42,46,47
Washington+County+Kentucky,Washington+County+Kentucky,41,74,24,51,38,47,31
Wayne+County+Kentucky,Wayne+County+Kentucky,24,61,23,60,33,36,42
Webster+County+Kentucky,Webster+County+Kentucky,40,59,28,61,38,47,36
Whitley+County+Kentucky,Whitley+County+Kentucky,36,54,25,61,39,51,36
Wolfe+County+Kentucky,Wolfe+County+Kentucky,13,18,22,64,32,24,29
Woodford+County+Kentucky,Woodford+County+Kentucky,59,19,43,48,42,62,36
Acadia+Parish+Louisiana,Acadia+Parish+Louisiana,59,47,34,54,40,47,50
Allen+Parish+Louisiana,Allen+Parish+Louisiana,59,47,34,54,40,47,50
Ascension+Parish+Louisiana,Ascension+Parish+Louisiana,59,47,34,54,40,47,50
Assumption+Parish+Louisiana,Assumption+Parish+Louisiana,59,47,34,54,40,47,50
Avoyelles+Parish+Louisiana,Avoyelles+Parish+Louisiana,59,47,34,54,40,47,50
Beauregard+Parish+Louisiana,Beauregard+Parish+Louisiana,59,47,34,54,40,47,50
Bienville+Parish+Louisiana,Bienville+Parish+Louisiana,59,47,34,54,40,47,50
Bossier+Parish+Louisiana,Bossier+Parish+Louisiana,59,47,34,54,40,47,50
Caddo+Parish+Louisiana,Caddo+Parish+Louisiana,59,47,34,54,40,47,50
Calcasieu+Parish+Louisiana,Calcasieu+Parish+Louisiana,59,47,34,54,40,47,50
Caldwell+Parish+Louisiana,Caldwell+Parish+Louisiana,59,47,34,54,40,47,50
Cameron+Parish+Louisiana,Cameron+Parish+Louisiana,59,47,34,54,40,47,50
Catahoula+Parish+Louisiana,Catahoula+Parish+Louisiana,59,47,34,54,40,47,50
Claiborne+Parish+Louisiana,Claiborne+Parish+Louisiana,59,47,34,54,40,47,50
Concordia+Parish+Louisiana,Concordia+Parish+Louisiana,59,47,34,54,40,47,50
De+Soto+Parish+Louisiana,De+Soto+Parish+Louisiana,59,47,34,54,40,47,50
East+Baton+Rouge+Parish+Louisiana,East+Baton+Rouge+Parish+Louisiana,59,47,34,54,40,47,50
East+Carroll+Parish+Louisiana,East+Carroll+Parish+Louisiana,59,47,34,54,40,47,50
East+Feliciana+Parish+Louisiana,East+Feliciana+Parish+Louisiana,59,47,34,54,40,47,50
Evangeline+Parish+Louisiana,Evangeline+Parish+Louisiana,59,47,34,54,40,47,50
Franklin+Parish+Louisiana,Franklin+Parish+Louisiana,59,47,34,54,40,47,50
Grant+Parish+Louisiana,Grant+Parish+Louisiana,59,47,34,54,40,47,50
Iberia+Parish+Louisiana,Iberia+Parish+Louisiana,59,47,34,54,40,47,50
Iberville+Parish+Louisiana,Iberville+Parish+Louisiana,59,47,34,54,40,47,50
Jackson+Parish+Louisiana,Jackson+Parish+Louisiana,59,47,34,54,40,47,50
Jefferson+Parish+Louisiana,Jefferson+Parish+Louisiana,59,47,34,54,40,47,50
Jefferson+Davis+Parish+Louisiana,Jefferson+Davis+Parish+Louisiana,59,47,34,54,40,47,50
Lafayette+Parish+Louisiana,Lafayette+Parish+Louisiana,59,47,34,54,40,47,50
Lafourche+Parish+Louisiana,Lafourche+Parish+Louisiana,59,47,34,54,40,47,50
LaSalle+Parish+Louisiana,LaSalle+Parish+Louisiana,59,47,34,54,40,47,50
Lincoln+Parish+Louisiana,Lincoln+Parish+Louisiana,59,47,34,54,40,47,50
Livingston+Parish+Louisiana,Livingston+Parish+Louisiana,59,47,34,54,40,47,50
Madison+Parish+Louisiana,Madison+Parish+Louisiana,59,47,34,54,40,47,50
Morehouse+Parish+Louisiana,Morehouse+Parish+Louisiana,59,47,34,54,40,47,50
Natchitoches+Parish+Louisiana,Natchitoches+Parish+Louisiana,59,47,34,54,40,47,50
Orleans+Parish+Louisiana,Orleans+Parish+Louisiana,59,47,34,54,40,47,50
Ouachita+Parish+Louisiana,Ouachita+Parish+Louisiana,59,47,34,54,40,47,50
Plaquemines+Parish+Louisiana,Plaquemines+Parish+Louisiana,59,47,34,54,40,47,50
Pointe+Coupee+Parish+Louisiana,Pointe+Coupee+Parish+Louisiana,59,47,34,54,40,47,50
Rapides+Parish+Louisiana,Rapides+Parish+Louisiana,59,47,34,54,40,47,50
Red+River+Parish+Louisiana,Red+River+Parish+Louisiana,59,47,34,54,40,47,50
Richland+Parish+Louisiana,Richland+Parish+Louisiana,59,47,34,54,40,47,50
Sabine+Parish+Louisiana,Sabine+Parish+Louisiana,59,47,34,54,40,47,50
St.+Bernard+Parish+Louisiana,St.+Bernard+Parish+Louisiana,59,47,34,54,40,47,50
St.+Charles+Parish+Louisiana,St.+Charles+Parish+Louisiana,59,47,34,54,40,47,50
St.+Helena+Parish+Louisiana,St.+Helena+Parish+Louisiana,59,47,34,54,40,47,50
St.+James+Parish+Louisiana,St.+James+Parish+Louisiana,59,47,34,54,40,47,50
St.+John+the+Baptist+Parish+Louisiana,St.+John+the+Baptist+Parish+Louisiana,59,47,34,54,40,47,50
St.+Landry+Parish+Louisiana,St.+Landry+Parish+Louisiana,59,47,34,54,40,47,50
St.+Martin+Parish+Louisiana,St.+Martin+Parish+Louisiana,59,47,34,54,40,47,50
St.+Mary+Parish+Louisiana,St.+Mary+Parish+Louisiana,59,47,34,54,40,47,50
St.+Tammany+Parish+Louisiana,St.+Tammany+Parish+Louisiana,59,47,34,54,40,47,50
Tangipahoa+Parish+Louisiana,Tangipahoa+Parish+Louisiana,59,47,34,54,40,47,50
Tensas+Parish+Louisiana,Tensas+Parish+Louisiana,59,47,34,54,40,47,50
Terrebonne+Parish+Louisiana,Terrebonne+Parish+Louisiana,59,47,34,54,40,47,50
Union+Parish+Louisiana,Union+Parish+Louisiana,59,47,34,54,40,47,50
Vermilion+Parish+Louisiana,Vermilion+Parish+Louisiana,59,47,34,54,40,47,50
Vernon+Parish+Louisiana,Vernon+Parish+Louisiana,59,47,34,54,40,47,50
Washington+Parish+Louisiana,Washington+Parish+Louisiana,59,47,34,54,40,47,50
Webster+Parish+Louisiana,Webster+Parish+Louisiana,59,47,34,54,40,47,50
West+Baton+Rouge+Parish+Louisiana,West+Baton+Rouge+Parish+Louisiana,59,47,34,54,40,47,50
West+Carroll+Parish+Louisiana,West+Carroll+Parish+Louisiana,59,47,34,54,40,47,50
West+Feliciana+Parish+Louisiana,West+Feliciana+Parish+Louisiana,59,47,34,54,40,47,50
Winn+Parish+Louisiana,Winn+Parish+Louisiana,59,47,34,54,40,47,50
Androscoggin+County+Maine,Androscoggin+County+Maine,61,70,48,58,42,59,48
Aroostook+County+Maine,Aroostook+County+Maine,61,63,36,65,33,56,43
Cumberland+County+Maine,Cumberland+County+Maine,82,62,62,53,45,57,49
Franklin+County+Maine,Franklin+County+Maine,78,61,44,58,30,51,40
Hancock+County+Maine,Hancock+County+Maine,92,54,54,52,29,46,44
Kennebec+County+Maine,Kennebec+County+Maine,73,72,48,53,37,62,45
Knox+County+Maine,Knox+County+Maine,91,67,50,50,36,53,45
Lincoln+County+Maine,Lincoln+County+Maine,95,56,57,49,31,43,40
Oxford+County+Maine,Oxford+County+Maine,71,65,40,54,31,49,47
Penobscot+County+Maine,Penobscot+County+Maine,64,63,40,56,36,58,60
Piscataquis+County+Maine,Piscataquis+County+Maine,75,73,41,60,23,47,51
Sagadahoc+County+Maine,Sagadahoc+County+Maine,72,62,61,54,39,69,43
Somerset+County+Maine,Somerset+County+Maine,63,59,35,51,31,50,41
Waldo+County+Maine,Waldo+County+Maine,69,62,45,51,31,45,41
Washington+County+Maine,Washington+County+Maine,64,62,32,60,26,42,50
York+County+Maine,York+County+Maine,67,63,54,48,40,67,46
Allegany+County+Maryland,Allegany+County+Maryland,53,47,26,63,40,57,70
Anne+Arundel+County+Maryland,Anne+Arundel+County+Maryland,62,54,57,41,52,63,49
Baltimore+County+Maryland,Baltimore+County+Maryland,58,46,54,49,56,57,55
Calvert+County+Maryland,Calvert+County+Maryland,39,58,48,40,39,80,43
Caroline+County+Maryland,Caroline+County+Maryland,44,48,34,47,34,46,43
Carroll+County+Maryland,Carroll+County+Maryland,53,60,57,37,48,78,45
Cecil+County+Maryland,Cecil+County+Maryland,39,34,42,48,39,66,37
Charles+County+Maryland,Charles+County+Maryland,49,53,41,32,43,73,45
Dorchester+County+Maryland,Dorchester+County+Maryland,57,51,30,62,35,39,49
Frederick+County+Maryland,Frederick+County+Maryland,55,46,58,41,52,71,46
Garrett+County+Maryland,Garrett+County+Maryland,57,49,35,60,32,56,38
Harford+County+Maryland,Harford+County+Maryland,64,40,55,47,50,70,50
Howard+County+Maryland,Howard+County+Maryland,73,51,72,40,57,73,45
Kent+County+Maryland,Kent+County+Maryland,65,56,45,53,36,39,45
Montgomery+County+Maryland,Montgomery+County+Maryland,64,56,81,37,66,54,58
Prince+George's+County+Maryland,Prince+George's+County+Maryland,49,33,51,39,56,60,48
Queen+Anne's+County+Maryland,Queen+Anne's+County+Maryland,57,40,50,32,36,71,43
St.+Mary's+County+Maryland,St.+Mary's+County+Maryland,44,41,46,44,38,55,42
Somerset+County+Maryland,Somerset+County+Maryland,42,57,25,58,36,31,50
Talbot+County+Maryland,Talbot+County+Maryland,73,35,50,46,38,52,43
Washington+County+Maryland,Washington+County+Maryland,53,63,46,52,45,62,45
Wicomico+County+Maryland,Wicomico+County+Maryland,47,44,45,52,39,50,52
Worcester+County+Maryland,Worcester+County+Maryland,73,67,47,46,32,52,43
Baltimore+city+Maryland,Baltimore+city+Maryland,54,45,41,81,62,34,76
Barnstable+County+Massachusetts,Barnstable+County+Massachusetts,76,51,67,43,40,48,53
Berkshire+County+Massachusetts,Berkshire+County+Massachusetts,70,50,57,56,43,47,65
Bristol+County+Massachusetts,Bristol+County+Massachusetts,51,53,44,54,51,54,48
Dukes+County+Massachusetts,Dukes+County+Massachusetts,98,39,56,41,33,57,56
Essex+County+Massachusetts,Essex+County+Massachusetts,60,50,57,50,58,50,51
Franklin+County+Massachusetts,Franklin+County+Massachusetts,67,38,57,52,45,56,53
Hampden+County+Massachusetts,Hampden+County+Massachusetts,48,49,48,62,54,45,55
Hampshire+County+Massachusetts,Hampshire+County+Massachusetts,56,42,62,51,51,54,56
Middlesex+County+Massachusetts,Middlesex+County+Massachusetts,64,53,64,47,64,54,59
Nantucket+County+Massachusetts,Nantucket+County+Massachusetts,90,20,61,27,34,46,62
Norfolk+County+Massachusetts,Norfolk+County+Massachusetts,65,49,63,43,61,56,53
Plymouth+County+Massachusetts,Plymouth+County+Massachusetts,58,59,50,42,49,61,44
Suffolk+County+Massachusetts,Suffolk+County+Massachusetts,60,65,64,79,75,26,82
Worcester+County+Massachusetts,Worcester+County+Massachusetts,54,44,50,52,50,58,44
Alcona+County+Michigan,Alcona+County+Michigan,39,62,45,44,26,18,46
Alger+County+Michigan,Alger+County+Michigan,38,35,43,56,29,50,46
Allegan+County+Michigan,Allegan+County+Michigan,46,53,48,48,40,57,41
Alpena+County+Michigan,Alpena+County+Michigan,56,60,44,60,35,51,53
Antrim+County+Michigan,Antrim+County+Michigan,59,61,39,41,29,37,46
Arenac+County+Michigan,Arenac+County+Michigan,51,53,30,50,31,46,37
Baraga+County+Michigan,Baraga+County+Michigan,33,62,30,56,33,71,59
Barry+County+Michigan,Barry+County+Michigan,49,60,40,42,38,71,42
Bay+County+Michigan,Bay+County+Michigan,48,74,43,58,44,53,54
Benzie+County+Michigan,Benzie+County+Michigan,75,68,38,39,30,42,44
Berrien+County+Michigan,Berrien+County+Michigan,54,56,39,60,41,49,42
Branch+County+Michigan,Branch+County+Michigan,43,50,35,57,38,52,41
Calhoun+County+Michigan,Calhoun+County+Michigan,51,59,35,54,39,49,60
Cass+County+Michigan,Cass+County+Michigan,38,67,27,50,36,53,40
Charlevoix+County+Michigan,Charlevoix+County+Michigan,70,60,52,54,34,46,47
Cheboygan+County+Michigan,Cheboygan+County+Michigan,58,61,41,51,27,32,39
Chippewa+County+Michigan,Chippewa+County+Michigan,48,72,37,63,33,52,49
Clare+County+Michigan,Clare+County+Michigan,42,61,30,56,30,37,39
Clinton+County+Michigan,Clinton+County+Michigan,35,66,49,44,47,77,35
Crawford+County+Michigan,Crawford+County+Michigan,46,59,48,53,26,37,40
Delta+County+Michigan,Delta+County+Michigan,58,51,52,59,36,58,52
Dickinson+County+Michigan,Dickinson+County+Michigan,57,23,52,56,46,73,56
Eaton+County+Michigan,Eaton+County+Michigan,54,56,47,50,45,73,34
Emmet+County+Michigan,Emmet+County+Michigan,60,49,55,54,36,55,43
Genesee+County+Michigan,Genesee+County+Michigan,44,56,41,62,43,42,33
Gladwin+County+Michigan,Gladwin+County+Michigan,46,61,33,54,29,32,43
Gogebic+County+Michigan,Gogebic+County+Michigan,55,49,39,62,41,47,48
Grand+Traverse+County+Michigan,Grand+Traverse+County+Michigan,63,50,44,48,40,63,46
Gratiot+County+Michigan,Gratiot+County+Michigan,43,44,32,58,44,63,45
Hillsdale+County+Michigan,Hillsdale+County+Michigan,38,53,31,54,36,44,42
Houghton+County+Michigan,Houghton+County+Michigan,56,49,47,58,38,46,54
Huron+County+Michigan,Huron+County+Michigan,58,56,42,57,33,56,50
Ingham+County+Michigan,Ingham+County+Michigan,52,63,55,57,51,51,44
Ionia+County+Michigan,Ionia+County+Michigan,33,58,40,53,41,59,39
Iosco+County+Michigan,Iosco+County+Michigan,63,55,44,56,32,33,50
Iron+County+Michigan,Iron+County+Michigan,62,38,18,64,30,47,44
Isabella+County+Michigan,Isabella+County+Michigan,29,51,37,59,41,40,50
Jackson+County+Michigan,Jackson+County+Michigan,41,59,38,53,42,51,60
Kalamazoo+County+Michigan,Kalamazoo+County+Michigan,53,54,56,58,43,42,45
Kalkaska+County+Michigan,Kalkaska+County+Michigan,31,61,40,45,27,43,36
Kent+County+Michigan,Kent+County+Michigan,54,48,56,50,50,59,39
Keweenaw+County+Michigan,Keweenaw+County+Michigan,44,82,28,42,20,26,35
Lake+County+Michigan,Lake+County+Michigan,58,61,38,60,26,19,42
Lapeer+County+Michigan,Lapeer+County+Michigan,44,60,35,44,41,74,39
Leelanau+County+Michigan,Leelanau+County+Michigan,87,51,56,39,35,43,46
Lenawee+County+Michigan,Lenawee+County+Michigan,49,66,45,51,42,49,46
Livingston+County+Michigan,Livingston+County+Michigan,45,53,51,38,45,72,37
Luce+County+Michigan,Luce+County+Michigan,71,41,29,49,34,50,45
Mackinac+County+Michigan,Mackinac+County+Michigan,75,62,43,48,21,51,43
Macomb+County+Michigan,Macomb+County+Michigan,32,54,45,48,53,62,43
Manistee+County+Michigan,Manistee+County+Michigan,51,67,49,56,35,45,47
Marquette+County+Michigan,Marquette+County+Michigan,62,44,53,61,38,54,52
Mason+County+Michigan,Mason+County+Michigan,70,66,43,52,35,45,47
Mecosta+County+Michigan,Mecosta+County+Michigan,43,59,43,60,33,38,45
Menominee+County+Michigan,Menominee+County+Michigan,42,56,33,59,32,51,50
Midland+County+Michigan,Midland+County+Michigan,50,50,50,54,44,62,47
Missaukee+County+Michigan,Missaukee+County+Michigan,38,72,39,42,28,43,40
Monroe+County+Michigan,Monroe+County+Michigan,44,68,38,55,45,50,41
Montcalm+County+Michigan,Montcalm+County+Michigan,42,61,40,53,35,72,42
Montmorency+County+Michigan,Montmorency+County+Michigan,38,44,35,48,28,40,46
Muskegon+County+Michigan,Muskegon+County+Michigan,48,55,35,54,40,49,49
Newaygo+County+Michigan,Newaygo+County+Michigan,36,61,43,48,34,42,42
Oakland+County+Michigan,Oakland+County+Michigan,47,50,57,44,53,55,43
Oceana+County+Michigan,Oceana+County+Michigan,32,44,40,46,34,41,43
Ogemaw+County+Michigan,Ogemaw+County+Michigan,35,61,32,52,27,32,39
Ontonagon+County+Michigan,Ontonagon+County+Michigan,38,62,32,62,25,36,59
Osceola+County+Michigan,Osceola+County+Michigan,36,61,34,56,29,48,45
Oscoda+County+Michigan,Oscoda+County+Michigan,37,62,31,55,21,38,39
Otsego+County+Michigan,Otsego+County+Michigan,53,61,41,57,30,59,39
Ottawa+County+Michigan,Ottawa+County+Michigan,51,62,60,46,48,71,41
Presque+Isle+County+Michigan,Presque+Isle+County+Michigan,76,62,40,57,32,41,50
Roscommon+County+Michigan,Roscommon+County+Michigan,48,54,42,54,28,18,43
Saginaw+County+Michigan,Saginaw+County+Michigan,56,53,27,55,42,54,52
St.+Clair+County+Michigan,St.+Clair+County+Michigan,39,48,36,54,41,62,39
St.+Joseph+County+Michigan,St.+Joseph+County+Michigan,46,44,28,57,39,57,41
Sanilac+County+Michigan,Sanilac+County+Michigan,50,61,23,50,33,52,37
Schoolcraft+County+Michigan,Schoolcraft+County+Michigan,31,64,44,61,27,51,50
Shiawassee+County+Michigan,Shiawassee+County+Michigan,56,52,41,58,42,46,40
Tuscola+County+Michigan,Tuscola+County+Michigan,50,70,28,46,36,46,43
Van+Buren+County+Michigan,Van+Buren+County+Michigan,45,44,41,52,36,54,31
Washtenaw+County+Michigan,Washtenaw+County+Michigan,54,51,59,51,53,58,52
Wayne+County+Michigan,Wayne+County+Michigan,37,47,38,57,53,44,48
Wexford+County+Michigan,Wexford+County+Michigan,48,76,43,55,32,55,40
Aitkin+County+Minnesota,Aitkin+County+Minnesota,82,60,49,54,24,40,49
Anoka+County+Minnesota,Anoka+County+Minnesota,51,64,58,44,56,75,57
Becker+County+Minnesota,Becker+County+Minnesota,60,73,45,53,32,72,46
Beltrami+County+Minnesota,Beltrami+County+Minnesota,74,60,50,56,31,49,48
Benton+County+Minnesota,Benton+County+Minnesota,65,52,56,53,44,76,60
Big+Stone+County+Minnesota,Big+Stone+County+Minnesota,97,61,55,58,34,71,63
Blue+Earth+County+Minnesota,Blue+Earth+County+Minnesota,71,49,54,56,42,58,66
Brown+County+Minnesota,Brown+County+Minnesota,82,61,44,59,46,73,56
Carlton+County+Minnesota,Carlton+County+Minnesota,68,65,49,46,37,68,45
Carver+County+Minnesota,Carver+County+Minnesota,71,50,65,43,54,73,49
Cass+County+Minnesota,Cass+County+Minnesota,73,81,42,53,23,42,45
Chippewa+County+Minnesota,Chippewa+County+Minnesota,82,59,47,59,38,70,52
Chisago+County+Minnesota,Chisago+County+Minnesota,64,36,50,44,38,80,40
Clay+County+Minnesota,Clay+County+Minnesota,73,57,49,56,49,68,59
Clearwater+County+Minnesota,Clearwater+County+Minnesota,70,61,20,55,26,52,50
Cook+County+Minnesota,Cook+County+Minnesota,99,72,53,60,20,48,57
Cottonwood+County+Minnesota,Cottonwood+County+Minnesota,85,60,55,63,39,65,51
Crow+Wing+County+Minnesota,Crow+Wing+County+Minnesota,74,77,54,52,34,57,48
Dakota+County+Minnesota,Dakota+County+Minnesota,58,61,66,47,57,71,53
Dodge+County+Minnesota,Dodge+County+Minnesota,81,61,58,46,41,89,47
Douglas+County+Minnesota,Douglas+County+Minnesota,85,58,60,52,36,69,44
Faribault+County+Minnesota,Faribault+County+Minnesota,74,60,51,60,40,50,48
Fillmore+County+Minnesota,Fillmore+County+Minnesota,92,44,66,50,46,75,45
Freeborn+County+Minnesota,Freeborn+County+Minnesota,77,49,52,59,40,53,45
Goodhue+County+Minnesota,Goodhue+County+Minnesota,82,79,56,52,44,59,43
Grant+County+Minnesota,Grant+County+Minnesota,99,41,27,56,31,50,53
Hennepin+County+Minnesota,Hennepin+County+Minnesota,67,61,68,58,63,47,71
Houston+County+Minnesota,Houston+County+Minnesota,65,60,73,52,43,50,69
Hubbard+County+Minnesota,Hubbard+County+Minnesota,81,61,44,53,27,42,45
Isanti+County+Minnesota,Isanti+County+Minnesota,65,60,47,41,39,82,41
Itasca+County+Minnesota,Itasca+County+Minnesota,74,59,47,53,32,61,44
Jackson+County+Minnesota,Jackson+County+Minnesota,84,59,44,58,39,84,45
Kanabec+County+Minnesota,Kanabec+County+Minnesota,64,60,40,46,28,57,46
Kandiyohi+County+Minnesota,Kandiyohi+County+Minnesota,75,61,56,56,40,64,49
Kittson+County+Minnesota,Kittson+County+Minnesota,89,60,35,68,31,50,53
Koochiching+County+Minnesota,Koochiching+County+Minnesota,73,44,34,65,31,47,66
Lac+qui+Parle+County+Minnesota,Lac+qui+Parle+County+Minnesota,77,53,47,63,36,54,52
Lake+County+Minnesota,Lake+County+Minnesota,87,69,37,49,38,61,50
Lake+of+the+Woods+County+Minnesota,Lake+of+the+Woods+County+Minnesota,98,61,40,58,24,66,49
Le+Sueur+County+Minnesota,Le+Sueur+County+Minnesota,60,45,50,48,44,80,47
Lincoln+County+Minnesota,Lincoln+County+Minnesota,63,61,44,64,37,43,43
Lyon+County+Minnesota,Lyon+County+Minnesota,68,75,53,63,43,77,58
McLeod+County+Minnesota,McLeod+County+Minnesota,59,48,50,50,43,66,49
Mahnomen+County+Minnesota,Mahnomen+County+Minnesota,55,61,25,65,32,44,40
Marshall+County+Minnesota,Marshall+County+Minnesota,81,61,30,60,30,46,54
Martin+County+Minnesota,Martin+County+Minnesota,85,59,48,59,40,58,48
Meeker+County+Minnesota,Meeker+County+Minnesota,80,60,56,45,36,62,46
